Cut,Passed,AbsoluteEff(%),RelativeEff(%)
Initial,50000,100.00,100.00
Exactly one lepton,50000,100.00,100.00
Lepton pT cut,50000,100.00,100.00
Lepton |η| < 2.5,50000,100.00,100.00
Exactly four jets,34767,69.53,69.53
Jet pT cut,34767,69.53,100.00
At least one b-tagged jet,40591,81.18,116.75
MET cut,50000,100.00,123.18
All cuts,28729,57.46,57.46

ScanType,CutValue,PassedEvents,Efficiency(%)
Lepton_pT,20000.00,50000,100.00
Lepton_pT,25000.00,50000,100.00
Lepton_pT,30000.00,46998,94.00
Lepton_pT,35000.00,42051,84.10
Lepton_pT,40000.00,37302,74.60
Jet_pT,30000.00,49536,99.07
Jet_pT,40000.00,48688,97.38
Jet_pT,50000.00,46797,93.59
Jet_pT,70000.00,38937,77.87
bTag_Thresh,0.75,42062,84.12
bTag_Thresh,0.80,41238,82.48
bTag_Thresh,0.83,40591,81.18
bTag_Thresh,0.85,40086,80.17
bTag_Thresh,0.90,38439,76.88
MET,20000.00,45610,91.22
MET,25000.00,43314,86.63
MET,30000.00,40726,81.45
MET,35000.00,37872,75.74
MET,40000.00,34923,69.85
